zip,place,county,state,lat,lng
91020,Montrose,Los Angeles,CA,34.21144,-118.23065
91024,Sierra Madre,Los Angeles,CA,34.17177,-118.04654
91030,South Pasadena,Los Angeles,CA,34.11029,-118.15748
91040,Sunland,Los Angeles,CA,34.25861,-118.33468
91042,Tujunga,Los Angeles,CA,34.30687,-118.25701
91046,Verdugo City,Los Angeles,CA,34.2117,-118.24092
91101,Pasadena,Los Angeles,CA,34.14671,-118.13895
91103,Pasadena,Los Angeles,CA,34.16738,-118.16446
91104,Pasadena,Los Angeles,CA,34.16766,-118.12341
91105,Pasadena,Los Angeles,CA,34.14045,-118.16716
91106,Pasadena,Los Angeles,CA,34.13861,-118.12825
91107,Pasadena,Los Angeles,CA,34.15919,-118.08688
91108,San Marino,Los Angeles,CA,34.12232,-118.11363
91125,Pasadena,Los Angeles,CA,34.13772,-118.12492
91201,Glendale,Los Angeles,CA,34.17041,-118.28902
91202,Glendale,Los Angeles,CA,34.18221,-118.26761
91203,Glendale,Los Angeles,CA,34.15287,-118.26355
91204,Glendale,Los Angeles,CA,34.13554,-118.26093
91205,Glendale,Los Angeles,CA,34.13679,-118.24339
91206,Glendale,Los Angeles,CA,34.16076,-118.21311
91207,Glendale,Los Angeles,CA,34.16872,-118.24477
91208,Glendale,Los Angeles,CA,34.19333,-118.23839
91210,Glendale,Los Angeles,CA,34.14468,-118.25809
91214,La Crescenta,Los Angeles,CA,34.23759,-118.24778
91301,Agoura Hills,Los Angeles,CA,34.12314,-118.75685
91302,Calabasas,Los Angeles,CA,34.12295,-118.67193
91303,Canoga Park,Los Angeles,CA,34.19784,-118.6017
91304,Canoga Park,Los Angeles,CA,34.22472,-118.63261
91306,Winnetka,Los Angeles,CA,34.20926,-118.5755
91307,West Hills,Los Angeles,CA,34.20177,-118.66226
91311,Chatsworth,Los Angeles,CA,34.29011,-118.60776
91316,Encino,Los Angeles,CA,34.15836,-118.51658
91321,Newhall,Los Angeles,CA,34.36479,-118.4922
91324,Northridge,Los Angeles,CA,34.23855,-118.55015
91325,Northridge,Los Angeles,CA,34.23636,-118.51777
91326,Porter Ranch,Los Angeles,CA,34.28022,-118.5566
91330,Northridge,Los Angeles,CA,34.2446,-118.52669
91331,Pacoima,Los Angeles,CA,34.25602,-118.41939
91335,Reseda,Los Angeles,CA,34.20107,-118.5407
91340,San Fernando,Los Angeles,CA,34.28668,-118.43479
91342,Sylmar,Los Angeles,CA,34.31778,-118.39207
91343,North Hills,Los Angeles,CA,34.23837,-118.48076
91344,Granada Hills,Los Angeles,CA,34.28991,-118.5047
91345,Mission Hills,Los Angeles,CA,34.26591,-118.45948
91350,Santa Clarita,Los Angeles,CA,34.43028,-118.50283
91351,Canyon Country,Los Angeles,CA,34.43269,-118.46276
91352,Sun Valley,Los Angeles,CA,34.23183,-118.36596
91354,Valencia,Los Angeles,CA,34.46039,-118.5528
91355,Valencia,Los Angeles,CA,34.42379,-118.58437
91356,Tarzana,Los Angeles,CA,34.15504,-118.54757
91364,Woodland Hills,Los Angeles,CA,34.1548,-118.59492
91367,Woodland Hills,Los Angeles,CA,34.17708,-118.61518
91371,Woodland Hills,Los Angeles,CA,34.18505,-118.57605
91381,Stevenson Ranch,Los Angeles,CA,34.3753,-118.60744
91384,Castaic,Los Angeles,CA,34.51604,-118.67289
91387,Canyon Country,Los Angeles,CA,34.39708,-118.3707
91390,Santa Clarita,Los Angeles,CA,34.53159,-118.40668
91401,Van Nuys,Los Angeles,CA,34.17801,-118.43183
91402,Panorama City,Los Angeles,CA,34.22413,-118.4448
91403,Sherman Oaks,Los Angeles,CA,34.14716,-118.46311
91405,Van Nuys,Los Angeles,CA,34.20153,-118.44863
91406,Van Nuys,Los Angeles,CA,34.19791,-118.48987
91411,Van Nuys,Los Angeles,CA,34.17853,-118.45956
91423,Sherman Oaks,Los Angeles,CA,34.14924,-118.43239
91436,Encino,Los Angeles,CA,34.15219,-118.49053
91501,Burbank,Los Angeles,CA,34.19469,-118.29431
91502,Burbank,Los Angeles,CA,34.17684,-118.30936
91504,Burbank,Los Angeles,CA,34.21349,-118.31478
91505,Burbank,Los Angeles,CA,34.17583,-118.34692
91506,Burbank,Los Angeles,CA,34.17134,-118.32384
91601,North Hollywood,Los Angeles,CA,34.16827,-118.37222
91602,North Hollywood,Los Angeles,CA,34.15078,-118.36633
91604,Studio City,Los Angeles,CA,34.13985,-118.39435
91605,North Hollywood,Los Angeles,CA,34.20699,-118.40067
91606,North Hollywood,Los Angeles,CA,34.18655,-118.38867
91607,Valley Village,Los Angeles,CA,34.16633,-118.39982
91608,Universal City,Los Angeles,CA,34.13839,-118.35272
91702,Azusa,Los Angeles,CA,34.24129,-117.82614
91706,Baldwin Park,Los Angeles,CA,34.09627,-117.96855
91711,Claremont,Los Angeles,CA,34.12836,-117.71523
91722,Covina,Los Angeles,CA,34.09731,-117.90612
91723,Covina,Los Angeles,CA,34.08495,-117.88652
91724,Covina,Los Angeles,CA,34.0805,-117.85515
91731,El Monte,Los Angeles,CA,34.07914,-118.04047
91732,El Monte,Los Angeles,CA,34.07239,-118.01455
91733,South El Monte,Los Angeles,CA,34.0454,-118.05314
91740,Glendora,Los Angeles,CA,34.11884,-117.8534
91741,Glendora,Los Angeles,CA,34.1647,-117.83197
91744,La Puente,Los Angeles,CA,34.02914,-117.93735
91745,Hacienda Heights,Los Angeles,CA,33.99926,-117.97225
91746,La Puente,Los Angeles,CA,34.04397,-117.98785
91748,Rowland Heights,Los Angeles,CA,33.9769,-117.89924
91750,La Verne,Los Angeles,CA,34.14927,-117.76647
91754,Monterey Park,Los Angeles,CA,34.051,-118.14451
91755,Monterey Park,Los Angeles,CA,34.04832,-118.11496
91759,Mt Baldy,Los Angeles,CA,34.2541,-117.69194
91765,Diamond Bar,Los Angeles,CA,33.98725,-117.81473
91766,Pomona,Los Angeles,CA,34.04192,-117.75698
91767,Pomona,Los Angeles,CA,34.08143,-117.73868
91768,Pomona,Los Angeles,CA,34.06358,-117.78941
91770,Rosemead,Los Angeles,CA,34.06395,-118.08361
91773,San Dimas,Los Angeles,CA,34.1072,-117.80928
91775,San Gabriel,Los Angeles,CA,34.11454,-118.08946
91776,San Gabriel,Los Angeles,CA,34.08987,-118.09519
91780,Temple City,Los Angeles,CA,34.10152,-118.05584
91789,Walnut,Los Angeles,CA,34.01858,-117.85408
91790,West Covina,Los Angeles,CA,34.06722,-117.93788
91791,West Covina,Los Angeles,CA,34.06134,-117.89425
91792,West Covina,Los Angeles,CA,34.02586,-117.89989
91801,Alhambra,Los Angeles,CA,34.09093,-118.12776
91803,Alhambra,Los Angeles,CA,34.0749,-118.14624
92397,Wrightwood,Los Angeles,CA,34.36212,-117.69136
93510,Acton,Los Angeles,CA,34.45627,-118.2109
93532,Lake Hughes,Los Angeles,CA,34.68571,-118.55914
93534,Lancaster,Los Angeles,CA,34.71759,-118.15079
93535,Lancaster,Los Angeles,CA,34.69908,-117.89613
93536,Lancaster,Los Angeles,CA,34.75267,-118.3889
93543,Littlerock,Los Angeles,CA,34.47916,-117.97357
93544,Llano,Los Angeles,CA,34.49063,-117.75505
93550,Palmdale,Los Angeles,CA,34.38305,-118.04926
93551,Palmdale,Los Angeles,CA,34.59404,-118.22634
93552,Palmdale,Los Angeles,CA,34.58412,-118.02386
93553,Pearblossom,Los Angeles,CA,34.44515,-117.89611
93563,Valyermo,Los Angeles,CA,34.38662,-117.83646
93591,Palmdale,Los Angeles,CA,34.59656,-117.80955
